path,tag,owner_gap,last_modified,inbound_refs,line_count,last_audited
docs/A2A_DISCORD.md,runbook,,2026-03-13T12:28:42-06:00,4,92,2026-04-25
docs/ACP.md,decision-record,,2026-04-17T20:21:39Z,31,170,2026-04-25
docs/ACTIVATION.md,runbook,,2026-04-25T02:57:51Z,4,99,2026-04-25
docs/ADR-001-transactional-tool-speculation.md,decision-record,INFRA-001b,2026-04-18T15:28:09Z,13,61,2026-04-25
docs/ADR-002-mistralrs-structured-output-spike.md,decision-record,,2026-04-12T13:16:17-06:00,9,6,2026-04-25
docs/ADR-004-coord-blackboard-v2.md,decision-record,,2026-04-18T21:49:00-06:00,4,458,2026-04-25
docs/AGENT_COORDINATION.md,canonical,,2026-04-21T15:21:46Z,27,899,2026-04-25
docs/AGENT_LOOP.md,canonical,,2026-04-21T20:54:43-06:00,9,432,2026-04-25
docs/ANDROID_COMPANION.md,runbook,,2026-04-19T19:27:10Z,11,85,2026-04-25
docs/ARCHITECTURE.md,canonical,,2026-04-16T13:56:38-06:00,11,74,2026-04-25
docs/AUTO-013-ORCHESTRATOR-DESIGN.md,decision-record,AUTO-013,2026-04-19T17:26:14-06:00,4,277,2026-04-25
docs/AUTOMATION_SNIPPETS.md,runbook,,2026-04-13T16:24:16-06:00,3,76,2026-04-25
docs/AUTONOMOUS_PR_WORKFLOW.md,runbook,,2026-04-19T20:05:12Z,7,60,2026-04-25
docs/BENCHMARKS.md,canonical,,2026-04-17T10:48:11-06:00,12,75,2026-04-25
docs/BROWSER_AUTOMATION.md,canonical,,2026-04-15T19:24:21-06:00,4,128,2026-04-25
docs/CAPABILITY_CHECKLIST.md,canonical,,2026-04-19T20:05:12Z,4,61,2026-04-25
docs/CHUMP_AUTONOMY_TESTS.md,runbook,,2026-04-20T17:28:04Z,6,92,2026-04-25
docs/CHUMP_BRAIN.md,canonical,,2026-04-10T11:22:26-06:00,38,102,2026-04-25
docs/CHUMP_CURSOR_FLEET.md,canonical,,2026-04-21T20:54:43-06:00,11,125,2026-04-25
docs/CHUMP_CURSOR_PROTOCOL.md,redirect,,2026-04-21T11:59:41-06:00,9,11,2026-04-25
docs/CHUMP_DISPATCH_RULES.md,canonical,,2026-04-19T23:46:14Z,4,44,2026-04-25
docs/CHUMP_FACULTY_MAP.md,canonical,,2026-04-21T15:11:09Z,33,284,2026-04-25
docs/CHUMP_PROJECT_BRIEF.md,log,,2026-04-22T15:28:27Z,32,48,2026-04-25
docs/CHUMP_RECIPES.md,canonical,,2026-04-20T07:13:36Z,5,159,2026-04-25
docs/CHUMP_RESEARCH_BRIEF.md,log,,2026-04-22T16:05:35Z,12,66,2026-04-25
docs/CHUMP_TO_COMPLEX.md,canonical,,2026-04-22T16:14:04Z,31,398,2026-04-25
docs/CODEREVIEW_POLICY.md,canonical,,2026-04-19T17:30:52Z,4,115,2026-04-25
docs/COG-024-MIGRATION.md,decision-record,COG-024,2026-04-19T18:10:19Z,5,49,2026-04-25
docs/COMPETITIVE_MATRIX.md,log,,2026-04-24T19:36:38Z,3,80,2026-04-25
docs/CONSCIOUSNESS.md,canonical,,2026-04-21T01:21:29Z,82,101,2026-04-25
docs/CONSCIOUSNESS_AB_RESULTS.md,log,,2026-04-22T15:28:27Z,57,1978,2026-04-25
docs/CONTEXT_ASSEMBLY_AUDIT.md,archive-candidate,,2026-04-22T10:36:33-06:00,3,60,2026-04-25
docs/CONTEXT_PRECEDENCE.md,canonical,,2026-04-13T16:24:16-06:00,6,65,2026-04-25
docs/COS_DECISION_LOG.md,decision-record,,2026-04-19T19:27:10Z,9,52,2026-04-25
docs/CRATES_EXTRACTION_PLAN.md,decision-record,,2026-04-18T18:20:35-06:00,4,131,2026-04-25
docs/CRATE_AUDIT.md,archive-candidate,INFRA-046,2026-04-24T22:23:35Z,3,185,2026-04-25
docs/CROSS_AGENT_BENCHMARK_2026Q3.md,log,,2026-04-20T07:16:52Z,4,368,2026-04-25
docs/CURSOR_CLAUDE_COORDINATION.md,log,,2026-04-21T20:54:43-06:00,6,58,2026-04-25
docs/CURSOR_CLI_INTEGRATION.md,redirect,,2026-04-21T11:59:41-06:00,11,11,2026-04-25
docs/DEFENSE_PILOT_REPRO_KIT.md,runbook,,2026-04-19T19:27:10Z,12,112,2026-04-25
docs/DEMO_HOSTING.md,runbook,,2026-04-24T20:33:53Z,4,205,2026-04-25
docs/DEMO_SCRIPT.md,runbook,,2026-04-24T20:33:53Z,5,146,2026-04-25
docs/DISCORD_TROUBLESHOOTING.md,runbook,,2026-04-21T17:15:38-06:00,9,111,2026-04-25
docs/DOC_HYGIENE_PLAN.md,canonical,DOC-005,2026-04-26T02:32:29Z,6,175,2026-04-25
docs/EVALUATION_PLAN_2026Q2.md,log,,2026-04-24T17:08:47Z,6,247,2026-04-25
docs/EVALUATION_PRIORITIZATION_FRAMEWORK.md,archive-candidate,,2026-04-24T17:08:47Z,3,228,2026-04-25
docs/EXECUTION_BACKENDS.md,canonical,,2026-04-15T19:24:21-06:00,3,97,2026-04-25
docs/EXPERT_REVIEW_PANEL.md,log,,2026-04-24T18:11:04Z,4,433,2026-04-25
docs/EXTERNAL_GOLDEN_PATH.md,canonical,,2026-04-22T09:21:18-06:00,32,197,2026-04-25
docs/EXTERNAL_PLAN_ALIGNMENT.md,log,,2026-04-19T20:05:12Z,5,48,2026-04-25
docs/FINDINGS.md,canonical,,2026-04-25T20:06:55Z,37,691,2026-04-25
docs/FLEET_BLOCKER_DETECT_DESIGN.md,decision-record,,2026-04-24T22:07:02Z,3,64,2026-04-25
docs/FLEET_CAPABILITY_DESIGN.md,decision-record,,2026-04-24T19:57:16Z,3,105,2026-04-25
docs/FLEET_OPEN_QUESTIONS_RESEARCH_2026Q2.md,archive-candidate,,2026-04-24T17:08:47Z,3,195,2026-04-25
docs/FLEET_ROLES.md,canonical,,2026-04-24T23:32:12Z,20,137,2026-04-25
docs/FLEET_VISION_2026Q2.md,log,,2026-04-24T17:08:47Z,3,275,2026-04-25
docs/FLEET_WS_SPIKE_RUNBOOK.md,runbook,,2026-04-19T20:05:12Z,4,71,2026-04-25
docs/FTUE_USER_PROFILE.md,runbook,,2026-04-19T13:30:03Z,4,208,2026-04-25
docs/GAPS_YAML_TO_SQLITE_MIGRATION.md,archive-candidate,,2026-04-24T18:11:04Z,3,291,2026-04-25
docs/HERMES_COMPETITIVE_ROADMAP.md,log,,2026-04-19T20:05:12Z,5,51,2026-04-25
docs/HIGH_ASSURANCE_AGENT_PHASES.md,canonical,,2026-04-19T19:27:10Z,17,90,2026-04-25
docs/INFERENCE_MESH.md,canonical,,2026-04-19T19:27:10Z,8,76,2026-04-25
docs/INFERENCE_PROFILES.md,canonical,,2026-04-22T10:36:33-06:00,33,362,2026-04-25
docs/INFERENCE_STABILITY.md,canonical,,2026-04-15T11:57:48-06:00,17,111,2026-04-25
docs/INTENT_ACTION_PATTERNS.md,canonical,,2026-04-21T20:54:43-06:00,10,42,2026-04-25
docs/LATENCY_ENVELOPE.md,canonical,,2026-04-14T16:26:00-06:00,8,60,2026-04-25
docs/MABEL_FRONTEND.md,runbook,,2026-04-19T20:05:12Z,4,73,2026-04-25
docs/MARKET_EVALUATION.md,log,,2026-04-19T20:05:12Z,9,109,2026-04-25
docs/MARKET_RESEARCH_EVIDENCE_LOG.md,log,,2026-04-18T16:57:35-06:00,7,15,2026-04-25
docs/MDBOOK_REMEDIATION_REPORT.md,log,,2026-04-22T11:30:30-06:00,3,47,2026-04-25
docs/MD_BOOK_PUBLISH_SURFACE.md,canonical,,2026-04-22T11:30:30-06:00,4,100,2026-04-25
docs/MEMORY_GRAPH_VS_FTS5.md,canonical,,2026-04-15T19:15:31-06:00,4,194,2026-04-25
docs/MERGE_QUEUE_SETUP.md,runbook,,2026-04-19T17:32:29Z,7,132,2026-04-25
docs/MESSAGING_ADAPTERS.md,canonical,,2026-04-19T03:04:07Z,5,97,2026-04-25
docs/METRICS.md,canonical,,2026-04-22T10:26:29-06:00,28,508,2026-04-25
docs/MISTRALRS.md,canonical,,2026-04-21T01:21:29Z,44,133,2026-04-25
docs/MODEL_TESTING_TAIL.md,log,,2026-04-19T19:27:10Z,4,114,2026-04-25
docs/MODERNIZATION_AUDIT.md,log,,2026-04-24T22:48:38Z,3,186,2026-04-25
docs/MONETIZATION_V0.md,log,,2026-04-24T20:14:18Z,3,144,2026-04-25
docs/NEUROMODULATION_HEURISTICS.md,log,,2026-04-11T16:06:28-06:00,5,43,2026-04-25
docs/NEXT_GEN_COMPETITIVE_INTEL.md,log,,2026-04-22T06:52:55-06:00,10,69,2026-04-25
docs/NORTH_STAR.md,canonical,,2026-04-19T13:30:03Z,9,112,2026-04-25
